scan,rater_1,rater_2,rater_3,rater_4
sub-7416_ses-month24__,yes,yes,yes,yes
sub-7423_ses-month24__,no,no,no,no
sub-7428_ses-baseline__,no,no,no,no
sub-7428_ses-month24__,no,no,no,no
sub-7429_ses-month24__,yes,yes,yes,yes
sub-7430_ses-baseline__,no,no,no,no
sub-7480_ses-baseline__,no,no,no,no
sub-7482_ses-month24__,yes,yes,yes,yes
sub-7485_ses-baseline__,no,no,no,no
sub-7487_ses-month24__,yes,yes,yes,yes
sub-7488_ses-month24__,yes,yes,yes,yes
sub-7494_ses-month24__,yes,yes,yes,yes
sub-7498_ses-month24__,yes,yes,yes,yes
sub-7504_ses-month24__,no,yes,no,no
sub-7506_ses-month24__,yes,yes,yes,yes
sub-7511_ses-baseline__,yes,yes,yes,yes
sub-7518_ses-month24__,yes,yes,yes,yes
sub-7521_ses-month24__,yes,yes,yes,yes
sub-7530_ses-baseline__,yes,yes,yes,yes
sub-7533_ses-month48__,yes,yes,yes,yes
sub-7534_ses-month24__,yes,yes,yes,yes
sub-7538_ses-baseline__,yes,yes,yes,yes
sub-7548_ses-month24__,yes,yes,yes,yes
sub-7556_ses-month24__,yes,yes,yes,yes
sub-7559_ses-baseline__,yes,yes,yes,yes
sub-7565_ses-baseline__,yes,yes,yes,yes
sub-7573_ses-baseline__,yes,yes,yes,yes
sub-7585_ses-baseline__,yes,yes,yes,yes
sub-7599_ses-baseline__,yes,yes,yes,yes
sub-7600_ses-baseline__,yes,yes,yes,yes
sub-7607_ses-baseline__,yes,yes,yes,yes
sub-7627_ses-baseline__,yes,yes,yes,yes
sub-7628_ses-month48__,yes,yes,yes,yes
sub-7631_ses-baseline__,yes,yes,yes,yes
sub-7631_ses-month24__,yes,yes,yes,yes
sub-7638_ses-baseline__,yes,yes,yes,yes
sub-7639_ses-month24__,yes,yes,yes,yes
sub-7645_ses-month48__,yes,yes,yes,yes
sub-7650_ses-month48__,yes,yes,yes,yes
