scan,rater_1,rater_2,rater_3,rater_4
sub-wrap0083_ses-year6_acq-unknown_,yes,yes,yes,yes
sub-wrap0085_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrap0089_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0089_ses-year2_acq-SPGR_,yes,yes,no,yes
sub-wrap0092_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0092_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0097_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrap0097_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0098_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0098_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0098_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0098_ses-year4_acq-SPGR_,yes,yes,yes,yes
sub-wrap0098_ses-year5_acq-unknown_,yes,yes,yes,yes
sub-wrap0098_ses-year6_acq-SPGR_,yes,yes,yes,yes
sub-wrap0100_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrap0100_ses-year2_acq-unknown_,yes,yes,yes,yes
sub-wrap0101_ses-baseline_acq-MPRAGE_,yes,yes,maybe,yes
sub-wrap0101_ses-year2_acq-SPGR_,maybe,yes,yes,yes
sub-wrap0101_ses-year3_acq-SPGR_run-1,yes,yes,yes,yes
sub-wrap0101_ses-year3_acq-SPGR_run-2,yes,yes,yes,yes
sub-wrap0103_ses-baseline_acq-MPRAGE_,yes,yes,yes,yes
sub-wrap0103_ses-year2_acq-unknown_,yes,yes,yes,yes
sub-wrap0105_ses-baseline_acq-unknown_,yes,yes,yes,maybe
sub-wrap0108_ses-baseline_acq-MPRAGE_,yes,yes,yes,yes
sub-wrap0118_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrap0120_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrap0121_ses-baseline_acq-SPGR_,yes,maybe,yes,yes
sub-wrap0121_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0121_ses-year3_acq-unknown_,yes,yes,yes,yes
sub-wrap0124_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrap0124_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0128_ses-baseline_acq-SPGR_,yes,yes,yes,maybe
sub-wrap0129_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0129_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0131_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0131_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0132_ses-baseline_acq-MPRAGE_,yes,yes,yes,yes
sub-wrap0134_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0134_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0134_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0134_ses-year4_acq-unknown_,yes,yes,yes,yes
sub-wrap0134_ses-year5_acq-unknown_,yes,yes,yes,yes
sub-wrap0139_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0139_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0139_ses-year4_acq-unknown_,yes,yes,yes,yes
sub-wrap0140_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0140_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0140_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0140_ses-year4_acq-SPGR_,yes,yes,yes,yes
sub-wrap0140_ses-year5_acq-unknown_,yes,yes,yes,yes
sub-wrap0140_ses-year6_acq-unknown_,yes,yes,yes,yes
sub-wrap0142_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0146_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0146_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0146_ses-year4_acq-SPGR_,yes,maybe,yes,yes
sub-wrap0146_ses-year6_acq-unknown_,yes,yes,yes,yes
sub-wrap0146_ses-year7_acq-SPGR_,yes,yes,yes,yes
sub-wrap0149_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0149_ses-year2_acq-unknown_,yes,yes,yes,yes
sub-wrap0149_ses-year3_acq-unknown_,yes,yes,yes,yes
sub-wrap0150_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0150_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0150_ses-year4_acq-SPGR_,maybe,yes,yes,maybe
sub-wrap0150_ses-year5_acq-unknown_,yes,yes,yes,yes
sub-wrap0150_ses-year6_acq-unknown_,yes,yes,yes,maybe
sub-wrap0155_ses-baseline_acq-SPGR_,maybe,yes,yes,yes
sub-wrap0158_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0160_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrap0163_ses-baseline_acq-MPRAGE_,yes,yes,yes,yes
sub-wrap0163_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0163_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0170_ses-baseline_acq-SPGR_,maybe,yes,yes,yes
sub-wrap0170_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0170_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0170_ses-year4_acq-SPGR_,yes,yes,yes,yes
sub-wrap0170_ses-year5_acq-unknown_,yes,yes,yes,yes
sub-wrap0170_ses-year7_acq-SPGR_,yes,yes,yes,yes
sub-wrap0171_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrap0174_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrap0175_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0175_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0181_ses-year3_acq-unknown_,yes,yes,yes,maybe
sub-wrap0184_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0189_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0189_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0191_ses-baseline_acq-unknown_,yes,yes,yes,yes
sub-wrap0193_ses-baseline_acq-MPRAGE_,yes,yes,yes,yes
sub-wrap0193_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0193_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0193_ses-year5_acq-unknown_,yes,yes,yes,yes
sub-wrap0194_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0194_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0196_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0197_ses-baseline_acq-SPGR_,maybe,yes,yes,maybe
sub-wrap0197_ses-year2_acq-SPGR_run-1,yes,yes,yes,yes
sub-wrap0197_ses-year2_acq-SPGR_run-2,yes,yes,yes,yes
sub-wrap0197_ses-year3_acq-SPGR_,yes,yes,yes,yes
sub-wrap0197_ses-year4_acq-SPGR_,yes,yes,yes,yes
sub-wrap0199_ses-baseline_acq-SPGR_,yes,yes,yes,yes
sub-wrap0199_ses-year2_acq-SPGR_,yes,yes,yes,yes
sub-wrap0199_ses-year3_acq-unknown_,yes,yes,yes,maybe
sub-wrap0200_ses-baseline_acq-SPGR_,yes,yes,yes,yes
