scan,rater_1,rater_2,rater_3,rater_4
sub-7686_ses-baseline__,yes,yes,yes,no
sub-7694_ses-month48__,yes,yes,yes,yes
sub-7698_ses-month48__,yes,yes,yes,yes
sub-7705_ses-month48__,yes,yes,yes,yes
sub-7710_ses-baseline__,yes,yes,yes,yes
sub-7711_ses-month24__,yes,yes,yes,yes
sub-7716_ses-baseline__,yes,yes,yes,yes
sub-7721_ses-baseline__,yes,yes,yes,yes
sub-7725_ses-month24__,yes,yes,yes,yes
sub-7727_ses-baseline__,yes,yes,yes,yes
sub-7739_ses-month24__,yes,yes,yes,yes
sub-7741_ses-baseline__,yes,yes,yes,yes
sub-7744_ses-baseline__,yes,yes,yes,yes
sub-7752_ses-baseline__,yes,no,yes,yes
sub-7756_ses-baseline__,yes,yes,yes,yes
sub-7760_ses-month24__,yes,yes,yes,yes
sub-7760_ses-month48__,yes,yes,yes,yes
sub-7763_ses-month48__,no,no,no,no
sub-7767_ses-month24__,yes,yes,yes,yes
sub-7775_ses-baseline__,yes,yes,yes,yes
sub-7777_ses-month24__,yes,yes,yes,yes
sub-7778_ses-month24__,yes,yes,yes,yes
sub-7782_ses-month48__,yes,yes,yes,yes
sub-7787_ses-baseline__,yes,yes,yes,yes
sub-7787_ses-month48__,yes,yes,yes,yes
sub-7791_ses-month48__,yes,yes,yes,yes
sub-7792_ses-month24__,yes,yes,yes,yes
sub-7794_ses-baseline__,no,no,no,yes
sub-7805_ses-baseline__,yes,yes,yes,yes
sub-7808_ses-baseline__,yes,yes,yes,yes
sub-7809_ses-month24__,yes,yes,yes,yes
sub-7809_ses-month48__,yes,yes,yes,yes
sub-7815_ses-month24__,yes,yes,yes,yes
sub-7825_ses-month48__,yes,yes,yes,yes
sub-7829_ses-baseline__,yes,yes,yes,yes
sub-7831_ses-baseline__,yes,yes,no,no
sub-7832_ses-baseline__,yes,yes,yes,yes
sub-7833_ses-month24__,yes,yes,yes,yes
sub-7835_ses-baseline__,no,no,no,no
sub-7836_ses-month48__,no,yes,no,no
sub-7839_ses-month48__,yes,yes,yes,yes
sub-7840_ses-month48__,yes,yes,yes,yes
sub-7841_ses-baseline__,no,no,no,no
sub-7843_ses-month24__,yes,yes,yes,yes
sub-7845_ses-month24__,yes,yes,yes,yes
sub-7846_ses-month24__,yes,yes,yes,yes
sub-7846_ses-month48__,yes,yes,yes,yes
sub-7847_ses-month24__,yes,yes,yes,yes
sub-7852_ses-baseline__,yes,yes,yes,yes
sub-7854_ses-baseline__,yes,yes,yes,yes
sub-7863_ses-baseline__,maybe,yes,no,no
sub-7864_ses-month48__,no,no,no,no
sub-7866_ses-month24__,yes,yes,yes,yes
sub-7872_ses-baseline__,yes,yes,yes,yes
sub-7879_ses-month24__,yes,yes,yes,yes
sub-7880_ses-baseline__,yes,yes,yes,yes
sub-7885_ses-baseline__,yes,yes,yes,yes
sub-7886_ses-baseline__,no,no,no,no
sub-7891_ses-month48__,yes,yes,yes,yes
sub-7908_ses-baseline__,yes,yes,yes,yes
sub-7911_ses-month24__,no,no,no,no
sub-7911_ses-month48__,no,no,no,no
sub-7916_ses-month24__,yes,yes,yes,yes
sub-7923_ses-baseline__,yes,yes,yes,yes
sub-7927_ses-month24__,no,no,no,no
sub-7929_ses-baseline__,yes,yes,yes,yes
sub-7931_ses-baseline__,yes,yes,yes,yes
sub-7937_ses-month48__,yes,yes,yes,yes
sub-7948_ses-month24__,no,no,no,no
sub-7950_ses-month48__,yes,yes,yes,yes
sub-7953_ses-baseline__,no,no,no,no
sub-7959_ses-month24__,maybe,yes,yes,yes
sub-7960_ses-month48__,yes,yes,yes,yes
sub-7964_ses-month24__,no,no,no,no
sub-7964_ses-month48__,no,no,no,no
sub-7971_ses-baseline__,yes,yes,yes,yes
sub-7977_ses-month24__,no,no,no,no
sub-7986_ses-baseline__,yes,yes,yes,yes
sub-7988_ses-baseline__,no,no,no,no
sub-7999_ses-month24__,yes,yes,yes,yes
sub-8008_ses-baseline__,yes,yes,yes,yes
sub-8011_ses-baseline__,yes,yes,yes,yes
sub-8013_ses-month24__,yes,yes,yes,yes
sub-8014_ses-baseline__,yes,yes,yes,yes
sub-8017_ses-baseline__,no,no,no,no
sub-8030_ses-baseline__,yes,yes,yes,yes
sub-8031_ses-baseline__,yes,yes,yes,yes
sub-8033_ses-month24__,yes,yes,yes,yes
sub-8034_ses-baseline__,yes,yes,yes,yes
sub-8035_ses-baseline__,yes,yes,yes,yes
sub-8036_ses-baseline__,yes,yes,yes,yes
sub-8037_ses-baseline__,no,no,no,no
sub-8042_ses-baseline__,no,no,no,yes
sub-8046_ses-month24__,yes,yes,yes,yes
sub-8058_ses-month24__,yes,yes,yes,yes
sub-8061_ses-month24__,yes,yes,yes,yes
sub-8065_ses-month24__,yes,yes,yes,yes
sub-8066_ses-month48__,yes,yes,yes,yes
sub-8068_ses-baseline__,yes,yes,yes,yes
