scan,rater_1,rater_2,rater_3,rater_4
sub-7510_ses-month24__,no,no,no,no
sub-7524_ses-month24__,yes,yes,yes,yes
sub-7528_ses-baseline__,yes,yes,yes,yes
sub-7533_ses-month48__,no,no,no,no
sub-7534_ses-month24__,yes,yes,yes,yes
sub-7540_ses-baseline__,yes,yes,yes,yes
sub-7541_ses-month24__,maybe,yes,no,no
sub-7553_ses-month24__,yes,yes,yes,yes
sub-7566_ses-baseline__,no,no,no,no
sub-7575_ses-month24__,no,no,no,no
sub-7584_ses-baseline__,yes,yes,yes,yes
sub-7593_ses-baseline__,yes,yes,yes,yes
sub-7597_ses-baseline__,no,no,no,no
sub-7599_ses-baseline__,yes,yes,yes,yes
sub-7601_ses-baseline__,yes,yes,yes,yes
sub-7606_ses-baseline__,yes,yes,yes,yes
sub-7607_ses-month24__,maybe,yes,no,no
sub-7624_ses-baseline__,no,no,no,no
sub-7625_ses-month24__,no,no,no,no
sub-7627_ses-baseline__,yes,yes,yes,yes
sub-7640_ses-baseline__,no,no,no,no
sub-7646_ses-baseline__,no,no,no,no
sub-7646_ses-month24__,no,no,no,no
sub-7648_ses-baseline__,no,yes,yes,yes
sub-7653_ses-baseline__,no,no,no,no
sub-7654_ses-month24__,no,no,no,no
sub-7680_ses-baseline__,no,yes,no,no
sub-7686_ses-baseline__,no,no,no,no
sub-7689_ses-baseline__,maybe,yes,yes,yes
sub-7711_ses-baseline__,maybe,yes,yes,yes
sub-7721_ses-month24__,yes,yes,yes,yes
sub-7729_ses-month24__,no,yes,no,no
sub-7729_ses-month48__,no,yes,no,no
sub-7737_ses-baseline__,no,no,no,no
sub-7738_ses-month48__,yes,yes,yes,yes
sub-7749_ses-baseline__,yes,yes,yes,yes
sub-7752_ses-baseline__,no,no,no,no
sub-7752_ses-month24__,no,no,no,no
sub-7753_ses-baseline__,no,no,no,no
sub-7753_ses-month24__,no,no,no,no
sub-7756_ses-month48__,no,yes,no,no
sub-7757_ses-baseline__,no,no,no,no
sub-7761_ses-baseline__,yes,yes,yes,yes
sub-7763_ses-baseline__,no,no,no,no
sub-7763_ses-month24__,no,no,no,no
